scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,song_kind,seg_voiced,onset_ratio_vd,plan_v02,accent_stems,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
segment,FFT,14.0,180.0,chart_changepoint,1,17,49,,,33,,200,,,,,,,,,,,10.03,0.787,,,,,instrumental,,,,,,,drums,0.745,other,0.34,drums,3.042,,,,0.745,0.14,0.34,0.155,0.554,3.042,2.124,2.462,2.108,,,,,
segment,FFT,14.0,180.0,chart_changepoint,2,50,60,,,11,,26,,,,,,,,,,,2.818,0.649,,,,,instrumental,,,,,,,drums,0.538,other,0.423,other,4.711,,,,0.538,0.0,0.423,0.0,0.0,3.651,0.0,4.711,0.0,,,,,
segment,FFT,14.0,180.0,chart_changepoint,3,61,72,,,12,,74,,,,,,,,,,,9.833,0.76,,,,,instrumental,,,,,,,drums,0.635,other,0.419,drums,3.062,,,,0.635,0.041,0.419,0.108,0.5,3.062,1.101,2.875,1.856,,,,,
segment,FFT,14.0,180.0,chart_changepoint,4,73,96,,,24,,136,,,,,,,,,,,11.375,0.769,,,,,instrumental,,,,,,,drums,0.713,other,0.272,drums,2.694,,,,0.713,0.154,0.272,0.11,0.429,2.694,2.245,2.442,1.736,,,,,
song,FUJIN Rumble,14.5,192.0,,,,,,,96,1000,838,0.0,0.0,11.66,0.686,0.642,0.569,0.704,10,0.5,0.5,10.417,,9.625,0.007,4.311,-3.213,instrumental,,,,,,,,,,,,,,,,0.59,0.172,0.173,0.171,0.694,2.338,1.499,1.521,1.726,0.243,0.763,other,0.684,0.83
segment,FUJIN Rumble,14.5,192.0,audio_segment,0,2,4,intro,イントロ,3,,1,,,,,,,,,,,0.667,0.088,,,,,instrumental,0.393,,drum,,drum,,other,1.0,drums,0.0,other,63.001,False,True,False,0.0,0.0,1.0,0.0,,,,63.001,,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,1,5,16,interlude,間奏,12,,75,,,,,,,,,,,7.5,0.504,,,,,instrumental,0.08,0.375,hook,hook,drum,hook,drums,0.787,vocals,0.253,drums,3.144,True,True,True,0.787,0.027,0.24,0.253,0.704,3.144,0.754,1.662,2.475,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,2,17,24,interlude,間奏,8,,46,,,,,,,,,,,10.0,0.566,,,,,instrumental,0.0,0.553,hook,vocal,drum,vocal,drums,0.935,vocals,0.435,drums,3.804,True,True,True,0.935,0.087,0.174,0.435,0.769,3.804,0.703,1.025,3.01,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,3,25,28,pre_chorus,Bメロ,4,,24,,,,,,,,,,,6.75,0.395,,,,,instrumental,0.081,0.308,drum,,drum,,drums,0.458,bass,0.125,other,3.535,True,True,False,0.458,0.125,0.125,0.125,0.75,3.173,1.799,3.535,2.667,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,4,29,36,chorus,サビ,8,,84,,,,,,,,,,,11.625,0.878,,,,,instrumental,0.916,0.344,drum,hook,drum,hook,drums,0.571,bass,0.321,drums,1.864,True,True,True,0.571,0.321,0.167,0.119,0.476,1.864,1.742,1.348,1.006,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,5,37,48,quiet_chorus,落ちサビ,12,,54,,,,,,,,,,,7.25,0.647,,,,,instrumental,0.695,0.348,drum,,drum,,drums,0.87,other,0.296,drums,3.751,True,True,True,0.87,0.148,0.296,0.167,0.391,3.751,1.927,2.101,1.896,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,6,49,64,chorus,サビ,16,,193,,,,,,,,,,,13.062,0.856,,,,,instrumental,0.819,0.351,drum,hook,drum,hook,drums,0.503,bass,0.275,drums,1.735,True,True,True,0.503,0.275,0.13,0.145,0.7,1.735,1.396,1.336,1.283,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,7,65,80,quiet_chorus,落ちサビ,16,,187,,,,,,,,,,,13.5,0.837,,,,,instrumental,0.512,0.311,drum,vocal,drum,vocal,drums,0.583,bass,0.155,drums,1.942,True,True,True,0.583,0.155,0.107,0.144,0.73,1.942,1.203,1.168,1.374,,,,,
